sofascore_slug,transfermarkt_url,lig,sezon,etiket
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Ligue 1,21/22,Centre-Back
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Ligue 1,20/21,Centre-Back
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Ligue 1,19/20,Centre-Back
benoit-badiashile/904827,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,Ligue 1,18/19,Centre-Back
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,24/25,Attacking Midfield
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,21/22,Attacking Midfield
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Liga Portugal 2,13/14,Attacking Midfield
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,23/24,Right Winger
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,17/18,Right Winger
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Ligue 1,14/15,Right Winger
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Premier League,18/19,Central Midfield
bernardo-silva/331209,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,Ligue 1,16/17,Right Midfield
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Eredivisie,24/25,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Premier League,20/21,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Ligue 1,19/20,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Ligue 1,18/19,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Ligue 1,17/18,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Eredivisie,16/17,Right Winger
bertrand-traore/218160,https://www.transfermarkt.com/bertrand-traore/profil/spieler/131996,Eredivisie,14/15,Centre-Forward
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,Championship,24/25,Right-Back
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,Championship,19/20,Right-Back
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,Championship,18/19,Right-Back
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,U18 Premier League,16/17,Right-Back
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,Premier League,23/24,Right Midfield
bogle-jayden/929132,https://www.transfermarkt.com/jayden-bogle/profil/spieler/465717,Championship,22/23,Right Midfield
borna-sosa/357584,https://www.transfermarkt.com/borna-sosa/profil/spieler/293194,SuperSport HNL,17/18,Left-Back
borna-sosa/357584,https://www.transfermarkt.com/borna-sosa/profil/spieler/293194,Bundesliga,22/23,Left Midfield
borna-sosa/357584,https://www.transfermarkt.com/borna-sosa/profil/spieler/293194,Bundesliga,21/22,Left Midfield
borna-sosa/357584,https://www.transfermarkt.com/borna-sosa/profil/spieler/293194,Bundesliga,20/21,Left Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Premier League,24/25,Defensive Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Premier League,23/24,Defensive Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Premier League,22/23,Defensive Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Ligue 1,21/22,Defensive Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Ligue 1,20/21,Defensive Midfield
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Ligue 1,19/20,Centre-Back
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,Ligue 1,18/19,Centre-Back
boubacar-kamara/826204,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327,CFA - Grp. D,16/17,Centre-Back
bradley-conor/1008402,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,Premier League 2,21/22,Right-Back
bradley-conor/1008402,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,Premier League 2,20/21,Right-Back
